BOLSIG+ version: 07/2024
Collision input data:
--------------------------------------------------
CO2
C:\Users\pierr\Documents\GitHub\pyresiflex\src\pyresiflex\data\cross_sections\Bolsig\concat_xsections.dat
--------------------------------------------------
CO
C:\Users\pierr\Documents\GitHub\pyresiflex\src\pyresiflex\data\cross_sections\Bolsig\concat_xsections.dat
--------------------------------------------------
H2O
C:\Users\pierr\Documents\GitHub\pyresiflex\src\pyresiflex\data\cross_sections\Bolsig\concat_xsections.dat
--------------------------------------------------
N2
C:\Users\pierr\Documents\GitHub\pyresiflex\src\pyresiflex\data\cross_sections\Bolsig\concat_xsections.dat
--------------------------------------------------
O2
C:\Users\pierr\Documents\GitHub\pyresiflex\src\pyresiflex\data\cross_sections\Bolsig\concat_xsections.dat



Angular frequency / N (m3.rad/s)           0.00000
Cosine of E-B field angle                  0.00000
Gas temperature (K)                        3000.00
Excitation temperature (K)                 3000.00
Transition energy (eV)                     0.00000
Ionization degree                         0.100000E-02
Gas particle density (1/m3)               0.250000E+25
Ion charge parameter                       1.00000
Ion/neutral mass ratio                     1.00000
Coulomb collision model                    1.00000
Energy sharing                             1.00000
Growth model                               1.00000
Maxwellian mean energy (eV)                0.00000
# of grid points                           100.000
Precision                                 0.100000E-09
Convergence                               0.100000E-04
Maximum # of iterations                    2000.00
Mole fraction CO2                         0.280000E-01
Mole fraction CO                          0.440000E-01
Mole fraction H2O                         0.940000E-01
Mole fraction N2                          0.660000
Mole fraction O2                          0.430000E-01


E/N (Td)      	Electric field / N (Td)
E/N (Td)	Power /N (eV m3/s)
1.00000	0.940733E-18
2.18787	0.452528E-17
5.75149	0.322529E-16
11.6908	0.139675E-15
20.0059	0.413047E-15
30.6968	0.969837E-15
43.7634	0.195528E-14
59.2057	0.352243E-14
77.0238	0.584070E-14
97.2176	0.908771E-14
119.787	0.134426E-13
144.732	0.191049E-13
172.054	0.262479E-13
201.750	0.350932E-13
233.823	0.458479E-13
268.271	0.587199E-13
305.095	0.739375E-13
344.295	0.917048E-13
385.870	0.112315E-12
429.822	0.135985E-12
476.149	0.162924E-12
524.851	0.193353E-12
575.930	0.227603E-12
629.384	0.265918E-12
685.214	0.308571E-12
743.420	0.355812E-12
804.001	0.407987E-12
866.958	0.465314E-12
932.291	0.528014E-12
1000.00	0.596702E-12


E/N (Td)	Elastic power loss /N (eV m3/s)
1.00000	0.141285E-19
2.18787	0.686342E-19
5.75149	0.479976E-18
11.6908	0.179733E-17
20.0059	0.442801E-17
30.6968	0.996483E-17
43.7634	0.157571E-16
59.2057	0.204098E-16
77.0238	0.246544E-16
97.2176	0.288096E-16
119.787	0.330472E-16
144.732	0.375264E-16
172.054	0.423235E-16
201.750	0.475611E-16
233.823	0.533089E-16
268.271	0.596065E-16
305.095	0.665051E-16
344.295	0.740132E-16
385.870	0.821534E-16
429.822	0.909175E-16
476.149	0.100276E-15
524.851	0.110226E-15
575.930	0.120782E-15
629.384	0.131937E-15
685.214	0.143669E-15
743.420	0.155999E-15
804.001	0.168922E-15
866.958	0.182414E-15
932.291	0.196493E-15
1000.00	0.211231E-15


E/N (Td)	Inelastic power loss /N (eV m3/s)
1.00000	0.916878E-18
2.18787	0.442220E-17
5.75149	0.315837E-16
11.6908	0.137410E-15
20.0059	0.407540E-15
30.6968	0.960598E-15
43.7634	0.194808E-14
59.2057	0.352053E-14
77.0238	0.584304E-14
97.2176	0.908552E-14
119.787	0.134108E-13
144.732	0.189986E-13
172.054	0.259714E-13
201.750	0.344718E-13
233.823	0.445986E-13
268.271	0.564064E-13
305.095	0.699396E-13
344.295	0.851774E-13
385.870	0.102147E-12
429.822	0.120790E-12
476.149	0.141037E-12
524.851	0.162797E-12
575.930	0.186077E-12
629.384	0.210795E-12
685.214	0.236885E-12
743.420	0.264274E-12
804.001	0.292930E-12
866.958	0.322769E-12
932.291	0.353686E-12
1000.00	0.385798E-12


E/N (Td)	Growth power /N (eV m3/s)
1.00000	-0.514904E-20
2.18787	-0.529226E-20
5.75149	-0.644455E-20
11.6908	-0.112430E-19
20.0059	-0.824154E-19
30.6968	-0.231935E-17
43.7634	-0.103947E-16
59.2057	-0.202602E-16
77.0238	-0.283752E-16
97.2176	-0.284650E-16
119.787	-0.698643E-17
144.732	0.629264E-16
172.054	0.228690E-15
201.750	0.566528E-15
233.823	0.118822E-14
268.271	0.224364E-14
305.095	0.392215E-14
344.295	0.644621E-14
385.870	0.100767E-13
429.822	0.150911E-13
476.149	0.217781E-13
524.851	0.304382E-13
575.930	0.414098E-13
629.384	0.550130E-13
685.214	0.715723E-13
743.420	0.914362E-13
804.001	0.114952E-12
866.958	0.142442E-12
932.291	0.174243E-12
1000.00	0.210864E-12


E/N (Td)	e-i power loss /N (eV m3/s)
1.00000	0.530048E-20
2.18787	0.253275E-19
5.75149	0.156620E-18
11.6908	0.409801E-18
20.0059	0.589903E-18
30.6968	0.661026E-18
