# Data provided by J.B. Perrin-Terrin, from [PerrinTerrin2025](https://hal.science/hal-05076071v1/document)
# Cable: length=8.0 m, impedance=75 Ohm, Measurment position=3.0 m
# Time [s],Voltage [V],Current [A],Energy [J]
-8.290607E-8,0,-1.09375,-4.50455E-5
-8.280607E-8,0,-1.09375,-4.50455E-5
-8.270607E-8,0,-1.09375,-4.50455E-5
-8.260607E-8,0,-1.09375,-4.50455E-5
-8.250607E-8,0,-1.09375,-4.50455E-5
-8.240607E-8,0,-1.09375,-4.50455E-5
-8.230607E-8,0,-1.09375,-4.50455E-5
-8.220607E-8,0,-1.09375,-4.50455E-5
-8.210607E-8,0,-1.09375,-4.50455E-5
-8.200607E-8,0,-2.1875,-4.50455E-5
-8.190607E-8,0,-1.09375,-4.50455E-5
-8.180607E-8,0,-1.09375,-4.50455E-5
-8.170607E-8,0,-1.09375,-4.50455E-5
-8.160607E-8,0,-1.09375,-4.50455E-5
-8.150607E-8,0,-1.09375,-4.50455E-5
-8.140607E-8,0,-1.09375,-4.50455E-5
-8.130607E-8,0,-1.09375,-4.50455E-5
-8.120607E-8,0,-1.09375,-4.50455E-5
-8.110607E-8,0,-1.09375,-4.50455E-5
-8.100607E-8,0,-1.09375,-4.50455E-5
-8.090607E-8,0,-1.09375,-4.50455E-5
-8.080607E-8,0,-1.09375,-4.50455E-5
-8.070607E-8,0,-2.1875,-4.50455E-5
-8.060607E-8,0,-2.1875,-4.50455E-5
-8.050607E-8,0,-2.1875,-4.50455E-5
-8.040607E-8,0,-2.1875,-4.50455E-5
-8.030607E-8,0,-2.1875,-4.50455E-5
-8.020607E-8,0,-2.1875,-4.50455E-5
-8.010607E-8,0,-1.09375,-4.50455E-5
-8.000607E-8,0,-1.09375,-4.50455E-5
-7.990607E-8,0,-1.09375,-4.50455E-5
-7.980607E-8,0,-1.09375,-4.50455E-5
-7.970607E-8,0,-1.09375,-4.50455E-5
-7.960607E-8,0,-1.09375,-4.50455E-5
-7.950607E-8,0,-1.09375,-4.50455E-5
-7.940607E-8,0,-1.09375,-4.50455E-5
-7.930607E-8,0,-1.09375,-4.50455E-5
-7.920607E-8,0,-1.09375,-4.50455E-5
-7.910607E-8,0,-1.09375,-4.50455E-5
-7.900607E-8,0,-1.09375,-4.50455E-5
-7.890607E-8,0,-1.09375,-4.50455E-5
-7.880607E-8,0,-1.09375,-4.50455E-5
-7.870607E-8,0,-1.09375,-4.50455E-5
-7.860607E-8,0,-1.09375,-4.50455E-5
-7.850607E-8,0,-1.09375,-4.50455E-5
-7.840607E-8,0,-1.09375,-4.50455E-5
-7.830607E-8,0,-1.09375,-4.50455E-5
-7.820607E-8,0,-1.09375,-4.50455E-5
-7.810607E-8,0,-1.09375,-4.50455E-5
-7.800607E-8,0,-1.09375,-4.50455E-5
-7.790607E-8,0,-2.1875,-4.50455E-5
-7.780607E-8,0,-2.1875,-4.50455E-5
-7.770607E-8,0,-1.09375,-4.50455E-5
-7.760607E-8,0,-1.09375,-4.50455E-5
-7.750607E-8,0,-1.09375,-4.50455E-5
