BOLSIG+ version: 07/2024
Collision input data:
--------------------------------------------------
CO2
concat_xsections.dat
--------------------------------------------------
CO
concat_xsections.dat
--------------------------------------------------
H2O
concat_xsections.dat
--------------------------------------------------
N2
concat_xsections.dat
--------------------------------------------------
O2
concat_xsections.dat



Angular frequency / N (m3.rad/s)           0.00000
Cosine of E-B field angle                  0.00000
Gas temperature (K)                        2000.00
Excitation temperature (K)                 2000.00
Transition energy (eV)                     0.00000
Ionization degree                          0.00000
Gas particle density (1/m3)               0.370000E+25
Ion charge parameter                       1.00000
Ion/neutral mass ratio                     1.00000
Coulomb collision model                    1.00000
Energy sharing                             1.00000
Growth model                               1.00000
Maxwellian mean energy (eV)                0.00000
# of grid points                           200.000
Precision                                 0.100000E-11
Convergence                               0.100000E-05
Maximum # of iterations                    10000.0
Mole fraction CO2                         0.780142E-01
Mole fraction CO                          0.101317E-02
Mole fraction H2O                         0.155015
Mole fraction N2                          0.727457
Mole fraction O2                          0.385005E-01


E/N (Td)      	Electric field / N (Td)
2.59502	0.143454E+24
2.84804	0.144647E+24
3.12572	0.146097E+24
3.43047	0.147862E+24
3.76494	0.150013E+24
4.13201	0.152639E+24
4.53488	0.155850E+24
4.97702	0.159815E+24
5.46228	0.164639E+24
5.99484	0.170554E+24
6.57933	0.177826E+24
7.22081	0.186706E+24
7.92483	0.197617E+24
8.69749	0.210706E+24
9.54548	0.226545E+24
10.4762	0.245407E+24
11.4976	0.267566E+24
12.6186	0.293135E+24
13.8489	0.322169E+24
15.1991	0.354454E+24
16.6810	0.389717E+24
18.3074	0.427695E+24
20.0923	0.468468E+24
22.0513	0.512677E+24
24.2013	0.561973E+24
26.5609	0.618557E+24
29.1505	0.685774E+24
31.9927	0.766829E+24
35.1119	0.863686E+24
38.5353	0.976177E+24
42.2924	0.110145E+25
46.4159	0.123500E+25
50.9414	0.137153E+25
55.9081	0.150600E+25
61.3591	0.163513E+25
67.3415	0.175692E+25
73.9072	0.187087E+25
81.1131	0.197724E+25
89.0215	0.207658E+25
97.7010	0.217000E+25
107.227	0.225873E+25
117.681	0.234354E+25
129.155	0.242561E+25
141.747	0.250607E+25
155.568	0.258559E+25
170.735	0.266549E+25
187.382	0.274652E+25
205.651	0.282966E+25
225.702	0.291584E+25
247.708	0.300632E+25
271.859	0.310186E+25
298.365	0.320377E+25
327.455	0.331319E+25
359.381	0.343101E+25
394.421	0.355810E+25
432.876	0.369611E+25
475.081	0.384595E+25
521.401	0.400741E+25
572.237	0.418213E+25
628.029	0.437033E+25
689.261	0.457323E+25
756.464	0.479170E+25
830.217	0.502676E+25
911.163	0.527948E+25
1000.00	0.555133E+25


E/N (Td)	Energy mobility *N (1/m/V/s)
0.100000	0.146781E+25
0.109750	0.146781E+25
0.120450	0.146781E+25
0.132194	0.146782E+25
0.145083	0.146782E+25
0.159228	0.146783E+25
0.174753	0.146784E+25
0.191791	0.146784E+25
0.210490	0.146786E+25
0.231013	0.146787E+25
0.253536	0.146788E+25
0.278256	0.146790E+25
0.305386	0.146793E+25
0.335160	0.146795E+25
0.367838	0.146799E+25
0.403702	0.146803E+25
0.443062	0.146808E+25
0.486260	0.146813E+25
0.533670	0.146821E+25
0.585702	0.146829E+25
0.642807	0.146839E+25
0.705480	0.146851E+25
0.774264	0.146866E+25
0.849753	0.146884E+25
0.932603	0.146905E+25
1.02353	0.146931E+25
1.12332	0.146962E+25
1.23285	0.146999E+25
1.35305	0.147043E+25
1.48497	0.147096E+25
1.62975	0.147160E+25
1.78865	0.147237E+25
1.96304	0.147328E+25
2.15443	0.147438E+25
2.36449	0.147568E+25
2.59502	0.147718E+25
2.84804	0.147902E+25
3.12572	0.148119E+25
3.43047	0.148374E+25
3.76494	0.148673E+25
4.13201	0.149019E+25
4.53488	0.149417E+25
4.97702	0.149891E+25
5.46228	0.150396E+25
5.99484	0.150948E+25
6.57933	0.151548E+25
7.22081	0.152155E+25
7.92483	0.152793E+25
8.69749	0.153296E+25
9.54548	0.153744E+25
10.4762	0.154043E+25
11.4976	0.154140E+25
12.6186	0.153989E+25
13.8489	0.153579E+25
15.1991	0.152900E+25
16.6810	0.151954E+25
18.3074	0.150815E+25
20.0923	0.149521E+25
22.0513	0.148130E+25
24.2013	0.146720E+25
26.5609	0.145281E+25
29.1505	0.143860E+25
31.9927	0.142463E+25
35.1119	0.141073E+25
38.5353	0.139678E+25
42.2924	0.138264E+25
46.4159	0.136841E+25
50.9414	0.135403E+25
55.9081	0.133946E+25
61.3591	0.132470E+25
67.3415	0.130966E+25
73.9072	0.129438E+25
81.1131	0.127885E+25
89.0215	0.126283E+25
97.7010	0.124636E+25
107.227	0.122939E+25
117.681	0.121196E+25
129.155	0.119406E+25
141.747	0.117567E+25
155.568	0.115677E+25
170.735	0.113759E+25
187.382	0.111811E+25
205.651	0.109840E+25
225.702	0.107863E+25
247.708	0.105897E+25
271.859	0.103934E+25
298.365	0.101992E+25
327.455	0.100069E+25
359.381	0.981890E+24
394.421	0.963437E+24
432.876	0.945326E+24
475.081	0.927592E+24
521.401	0.910068E+24
572.237	0.892833E+24
628.029	0.875849E+24
689.261	0.859101E+24
756.464	0.842648E+24
830.217	0.826487E+24
911.163	0.810701E+24
1000.00	0.795233E+24


E/N (Td)	Energy diffusion coef. *N (1/m/s)
0.100000	0.253005E+24
0.109750	0.253009E+24
0.120450	0.253015E+24
0.132194	0.253021E+24
0.145083	0.253028E+24
0.159228	0.253037E+24
0.174753	0.253048E+24
0.191791	0.253061E+24
0.210490	0.253077E+24
0.231013	0.253096E+24
0.253536	0.253119E+24
0.278256	0.253147E+24
0.305386	0.253180E+24
0.335160	0.253220E+24
0.367838	0.253268E+24
0.403702	0.253327E+24
0.443062	0.253397E+24
0.486260	0.253481E+24
0.533670	0.253583E+24
0.585702	0.253706E+24
0.642807	0.253854E+24
0.705480	0.254032E+24
0.774264	0.254247E+24
0.849753	0.254506E+24
0.932603	0.254818E+24
1.02353	0.255195E+24
1.12332	0.255650E+24
1.23285	0.256199E+24
1.35305	0.256862E+24
1.48497	0.257662E+24
